DATE,ATNHPIUS14454Q
1977-07-01,26.38
1977-10-01,24.67
1978-01-01,25.09
1978-04-01,26.63
1978-07-01,30.05
1978-10-01,29.79
1979-01-01,32.27
1979-04-01,31.94
1979-07-01,32.73
1979-10-01,33.35
1980-01-01,34.54
1980-04-01,36.12
1980-07-01,37.74
1980-10-01,38.24
1981-01-01,39.86
1981-04-01,41.46
1981-07-01,42.96
1981-10-01,43.00
1982-01-01,43.3
1982-04-01,43.41
1982-07-01,44.12
1982-10-01,44.46
1983-01-01,45.61
1983-04-01,47.92
1983-07-01,50.38
1983-10-01,52.85
1984-01-01,53.8
1984-04-01,57.63
1984-07-01,61.51
1984-10-01,63.55
1985-01-01,67.2
1985-04-01,72.42
1985-07-01,77.52
1985-10-01,82.65
1986-01-01,86.19
1986-04-01,90.17
1986-07-01,94.53
1986-10-01,99.54
1987-01-01,102.96
1987-04-01,105.17
1987-07-01,108.66
1987-10-01,109.49
1988-01-01,109.89
1988-04-01,112.45
1988-07-01,111.73
1988-10-01,112.88
1989-01-01,111.47
1989-04-01,111.23
1989-07-01,112.55
1989-10-01,112.76
1990-01-01,111.35
1990-04-01,108.19
1990-07-01,107.10
1990-10-01,103.48
1991-01-01,102.36
1991-04-01,101.17
1991-07-01,100.45
1991-10-01,100.94
1992-01-01,100.56
1992-04-01,99.37
1992-07-01,100.07
1992-10-01,100.19
1993-01-01,99.69
1993-04-01,100.46
1993-07-01,100.63
1993-10-01,101.18
1994-01-01,101.52
1994-04-01,100.38
1994-07-01,100.41
1994-10-01,99.55
1995-01-01,100.00
1995-04-01,102.36
1995-07-01,104.28
1995-10-01,104.79
1996-01-01,106.46
1996-04-01,106.56
1996-07-01,107.23
1996-10-01,108.75
1997-01-01,109.66
1997-04-01,111.52
1997-07-01,113.3
1997-10-01,115.21
1998-01-01,116.85
1998-04-01,119.60
1998-07-01,122.97
1998-10-01,125.18
1999-01-01,128.12
1999-04-01,132.46
1999-07-01,138.73
1999-10-01,142.39
2000-01-01,148.64
2000-04-01,153.73
2000-07-01,159.88
2000-10-01,163.77
2001-01-01,168.36
2001-04-01,173.63
2001-07-01,179.25
2001-10-01,183.35
2002-01-01,189.48
2002-04-01,196.80
2002-07-01,203.12
2002-10-01,208.15
2003-01-01,212.88
2003-04-01,216.78
2003-07-01,220.75
2003-10-01,231.19
2004-01-01,234.94
2004-04-01,240.29
2004-07-01,252.03
2004-10-01,256.34
2005-01-01,261.40
2005-04-01,267.25
2005-07-01,270.15
2005-10-01,272.46
2006-01-01,272.65
2006-04-01,267.86
2006-07-01,266.30
2006-10-01,266.58
2007-01-01,263.58
2007-04-01,259.38
2007-07-01,254.20
2007-10-01,254.31
2008-01-01,253.80
2008-04-01,245.30
2008-07-01,239.80
2008-10-01,240.18
2009-01-01,239.85
2009-04-01,233.99
2009-07-01,229.35
2009-10-01,230.03
2010-01-01,228.14
2010-04-01,228.43
2010-07-01,230.14
2010-10-01,230.00
2011-01-01,226.40
2011-04-01,223.98
2011-07-01,225.85
2011-10-01,225.75
2012-01-01,224.80
2012-04-01,224.18
2012-07-01,225.91
2012-10-01,226.87
2013-01-01,227.93
2013-04-01,230.00
2013-07-01,232.91
2013-10-01,234.55
2014-01-01,236.76
2014-04-01,242.30
2014-07-01,245.29
2014-10-01,247.76
2015-01-01,249.14
2015-04-01,252.75
2015-07-01,257.41
2015-10-01,259.66
2016-01-01,262.84
2016-04-01,267.16
2016-07-01,271.93
2016-10-01,274.81
2017-01-01,275.55
2017-04-01,284.10
2017-07-01,287.47
2017-10-01,290.44
2018-01-01,293.51
2018-04-01,298.45
2018-07-01,302.24
2018-10-01,303.18
2019-01-01,306.92
2019-04-01,311.09
2019-07-01,314.41
2019-10-01,317.32
2020-01-01,320.47
2020-04-01,323.11
2020-07-01,328.87
2020-10-01,335.37
2021-01-01,342.69
2021-04-01,359.79
2021-07-01,377.86
2021-10-01,385.60
2022-01-01,396.32
2022-04-01,421.41
2022-07-01,423.36
2022-10-01,416.48
2023-01-01,420.91
2023-04-01,435.12
2023-07-01,447.29
2023-10-01,453.95
2024-01-01,454.43
2024-04-01,471.77
2024-07-01,476.41
